희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
I42.4,125,413,460,105840290,118953820
I47.2,7383,24315,34210,16159695800,18357044420
I67.5,16249,88644,210318,34936797640,39595512510
I73.1,4105,20037,30537,3123623420,3660199020
I78.0,181,977,1384,284104800,332802030
I82.0,324,1721,2040,309902760,359725820
J39.8,28126,53605,56103,2317148700,3915679530
J84.0,270,928,1453,415638580,470948780
J84.1,20858,108627,193985,43034408700,49493906950
K50.0,9575,55559,65496,29892866040,33629158000
K50.1,6350,33850,40495,16593978750,18638892900
K50.8,13472,103705,119865,69596792960,77526319750
K74.3,6541,28255,33838,6515385120,7430244320
K75.4,8955,44024,52707,7974847520,9201470460
K83.0,16099,43657,122314,37513997470,47477151610
L10.0,785,4536,5958,1019091260,1154772320
L10.2,448,2735,3172,396234810,451822350
L12.0,2393,14136,31171,2765607900,3275270570
L12.1,65,293,650,54957470,65109330
L12.3,89,495,850,122944840,139737830
M06.1,1534,9980,14052,2583284590,2997982750
M08.0,2636,15105,16372,4737690120,5325472580
M08.1,260,1179,1236,332441000,373937180
M08.2,205,1276,1489,378436150,430133310
M08.3,152,638,668,174071450,195571710
M30.0,462,2996,4459,680725440,798565880
M30.1,762,6733,8860,1183180590,1378343280
M30.2,4,9,9,1664650,1869250
M31.0,340,1040,1384,215970200,264172350
M31.1,373,1757,4453,3363294120,3811300440
M31.3,599,5194,7923,1668962670,1905507940
M31.4,2007,11950,13474,1481502920,1691372250
M31.7,1030,8217,15408,4254200450,4875794160
M32.1,24005,171316,200894,30046128090,34044623160
M33.0,164,1116,1788,254088280,289508710
M33.1,1888,13816,19409,3076780830,3565772770
M33.2,1774,12212,21711,4219603430,4845813970
M34.0,3653,21792,25284,3104491900,3521114110
M34.1,314,1471,1686,131119430,151259910
M34.8,1153,7328,9150,1636191860,1848467320
M35.0,27536,137534,144177,11233796320,13200684720
M35.1,1871,10031,10875,1325156410,1516104050
M35.2,19272,107529,120096,12798355000,14754228440
M35.3,5311,30027,37763,3453091270,4102354350
M35.4,70,245,296,32261800,40743000
M35.5,171,1078,1187,150026820,176004750
M35.6,23,241,298,40347090,45978870
M61.1,109,395,440,33171640,42302590
M88.0,14,51,51,4633290,5281290
M88.8,62,196,209,14992180,19052780
M88.9,166,562,927,66000720,83509420
M92.2,420,1307,1602,180009720,226776970
M93.1,679,2522,3258,365077250,467473020
M94.1,675,3486,4813,523301510,629119670
N04.0,2905,15614,17884,1157970980,1937808120
N04.1,1766,9611,11665,1172867620,1733653970
N04.2,1739,9345,10258,564255070,1020199790
N04.3,214,1255,1373,98532300,146481880
N04.4,28,110,130,14585920,20202870
N04.5,220,866,1032,90095400,145522750
N04.6,16,87,87,3854640,7882840
N04.7,33,167,291,29080230,38598350
N25.1,169,712,1236,181801110,210437620
P35.0,2,3,11,8111840,8128890
Q03.1,182,3277,3374,204368240,228040090
Q04.2,28,484,633,137437590,142324870
Q04.3,418,8348,9628,1078188940,1195168980
Q04.6,1576,7757,8541,635941690,870966060
Q05.0,5,54,54,2825810,3173010
Q05.1,3,81,80,6904840,7668040
Q05.2,19,209,210,7328970,8477390
Q05.3,5,40,40,2451550,2738250
Q05.4,14,69,242,14804340,17839720
Q05.5,7,104,104,4660780,5189980
Q05.6,192,449,419,19951740,24774160
Q05.7,86,413,493,24307240,29256320
Q05.8,35,120,121,8988640,10876690
Q05.9,2938,12573,14103,2324538440,2536624240
Q06.2,28,183,244,26216080,30011120
Q07.0,890,6127,8358,1294365360,1469856820
Q11.2,214,516,905,58445310,80341260
Q13.1,183,520,526,37039940,56268860
Q13.8,148,363,409,94144230,112353540
Q14.1,337,598,598,47853460,83113070
Q14.2,759,1528,1547,112407750,192540310
Q16.1,927,3182,3634,536376390,670582030
Q17.2,1698,6796,8912,1890649040,2149180670
Q20.0,117,569,824,771226630,815385680
Q20.1,1110,4451,6906,4767495840,5020634760
Q20.2,27,212,309,177687170,180474290
Q20.3,1309,4563,7300,6486655640,6726694630
Q20.4,1082,5731,8905,5618614540,5986372200
Q20.5,118,378,482,186182440,203313890
Q20.6,59,170,265,117091460,121230210
Q21.2,954,3521,6183,4781791790,5015154520
Q21.3,4418,15858,21502,15310884710,16238701700
Q21.4,63,222,329,212098810,219209350
Q21.8,92,424,464,186259980,209032350
Q22.0,982,3458,5714,4652902660,4898433520
Q22.4,140,817,1936,1404076070,1497095160
Q22.5,769,3043,4357,1917257870,2046273610
Q22.6,76,311,358,173971830,180985290
Q23.0,691,2076,2912,1249328340,1342539600
Q23.1,6043,20425,25197,9896827190,10775293670
Q23.2,101,468,754,332918160,362753870
Q23.3,844,2068,2346,864359320,936928230
Q23.4,129,1436,3282,3824315180,3911789500
Q23.8,122,321,358,80166300,91323210
Q23.9,223,638,755,408400130,437558780
Q24.4,132,356,621,350970230,378092380
Q24.5,2894,8399,10441,1667655220,1969872950
Q24.6,103,377,498,280733540,295980780
Q25.1,1328,3962,6209,4317429290,4488311370
Q25.2,56,259,580,788416810,803141510
Q25.3,271,827,1207,363359680,402997750
Q25.5,427,1766,3198,2762823650,2890623580
Q26.0,9,30,30,2792190,3173690
Q26.1,230,569,795,282618130,296083070
Q26.2,411,1660,3338,4019721600,4093451030
Q26.3,339,1053,1491,891154960,949444660
Q26.4,27,66,161,187329230,198831470
Q26.5,54,165,224,63515470,69507750
Q26.6,21,34,69,22273090,28542200
Q28.2,4408,15053,22320,7878674090,9701418170
Q38.3,237,386,385,14621480,19050930
Q43.8,218,3607,4211,799970320,879202560
Q44.2,699,3315,6208,2986354110,3274643150
Q44.6,8480,12985,13747,1273285740,2017293040
Q44.7,151,826,1027,154246190,175070560
Q61.1,89,391,412,44882820,55705120
Q61.9,2630,5032,5321,365547270,603691060
Q64.1,27,118,161,39904200,43631880
Q74.0,1956,3732,4052,350584830,476023630
Q74.3,217,2817,3048,337416770,373594610
Q74.8,374,807,971,94250120,132217130
Q75.0,1682,6911,8525,2080257540,2259620220
Q75.1,135,1196,1283,229900260,256181070
Q75.4,79,1152,1230,120365750,138771320
Q76.1,108,355,533,141360200,150918420
Q77.0,8,37,37,1187900,1357500
Q77.1,2,3,5,2633210,2682560
Q77.2,5,7,7,143530,212730
Q77.3,174,926,1027,112797610,131678390
Q77.4,388,3429,4138,612542510,666704020
Q77.5,4,82,81,3441360,3883560
Q77.6,7,91,93,4357020,4834320
Q77.7,139,620,1041,131151200,150351000
Q77.8,76,458,548,84274000,95052380
Q77.9,10,26,28,2062900,2550150
Q78.0,444,2031,2514,369081390,422496510
Q78.1,286,1090,1307,158837180,183846670
Q78.2,107,415,509,60664560,71484610
Q78.3,16,60,63,6203620,8400020
Q78.4,524,1403,1672,139688580,176150880
Q78.5,22,73,164,24556800,27985310
Q78.6,339,919,1301,264849210,298104340
Q78.9,102,224,238,20300590,25838080
Q79.0,281,1366,2755,2802111170,2856576650
Q79.1,334,725,1091,374648610,407874540
Q79.2,235,913,1590,822877550,850986790
Q79.3,37,151,367,284882700,287780830
Q79.4,14,246,289,69148360,75629430
Q79.5,24,56,61,6988910,8183440
Q79.6,125,851,854,64856650,76995800
Q79.8,325,1294,1500,145245410,174309990
Q79.9,349,2057,2184,202516150,225509020
Q80.1,32,73,73,2557640,3518340
Q80.2,17,83,122,32321620,33104830
Q80.3,28,205,203,8289230,9966630
Q80.4,4,13,13,798690,1019490
Q81.0,109,213,244,57091690,62381990
Q81.1,4,27,28,30179350,33517460
Q81.2,55,417,721,404851330,451458740
Q82.0,94,359,375,41117270,59366270
Q82.3,206,567,879,116262400,125733420
Q82.4,38,136,136,5770970,7046770
Q82.8,4173,8359,8446,286295270,480655420
Q85.0,5730,28128,31744,7478602760,8593515040
Q85.1,1109,8839,9673,1608721560,1796839860
Q85.8,1182,6825,8561,1386315810,1572178090
Q86.0,1,28,28,1522330,1522330
Q87.0,716,8807,11320,1548753680,1672613590
Q87.1,1304,24302,27792,4799568770,5227564570
Q87.2,773,6177,7806,1756084060,1876489660
Q87.3,408,3599,3970,346744080,392622520
Q87.4,1938,8359,10300,2246745600,2499444200
Q87.5,173,2719,3010,272519040,304347340
Q87.8,1083,10860,12118,1631790760,1816401250
Q90.0,923,7628,7868,691226820,753259690
Q90.1,85,677,681,45402330,50758970
Q90.2,49,824,822,42438340,45735510
Q90.9,1698,25297,27682,1722248940,1953585410
Q91.0,23,753,891,126641660,137367020
Q91.1,8,141,141,8268760,9134460
Q91.2,4,152,168,43841130,46772990
Q91.4,5,59,59,3104840,3225340
Q91.5,3,36,36,933380,1033880
Q91.6,1,3,3,203700,226300
Q91.7,17,251,355,124900190,126575990
Q92.2,36,145,232,61780220,64749370
Q92.3,100,1295,1321,105057230,118008990
Q92.8,19,336,336,17262760,20630760
Q93.2,32,225,367,42764930,47552990
