희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
Q82.4,41,147,150,7459810,9808500
Q82.8,4147,7928,8061,255840950,426215950
Q85.0,5270,26370,30871,7389616970,8444139160
Q85.1,1071,8754,9361,1539813020,1725918340
Q85.8,1123,6047,7789,1352978780,1543275240
Q86.0,1,29,29,1750940,1771440
Q87.0,634,8154,9937,1244037600,1348951710
Q87.1,1229,22220,24411,3601286620,3987052580
Q87.2,651,5402,7306,1482933010,1614061020
Q87.3,277,3649,3815,319717590,355855430
Q87.4,1776,8065,9955,1910810950,2126200160
Q87.5,158,2380,2876,558367560,589460920
Q87.8,880,9438,10679,1483581740,1630018140
Q90.0,872,7823,8075,702113180,761785040
Q90.1,65,437,479,59746350,64034850
Q90.2,49,677,675,39335220,43345760
Q90.9,1750,26091,28674,2027918510,2243750960
Q91.0,26,638,803,139429710,149996170
Q91.1,7,138,138,7356900,8115900
Q91.2,2,194,194,49418930,52499960
Q91.4,3,52,52,2672200,2677100
Q91.5,3,56,56,1348930,1518630
Q91.7,13,243,392,224033320,226369220
Q92.2,9,108,163,35346180,36036310
Q92.3,78,953,976,65338700,76321020
Q92.8,14,381,459,82617240,87833640
Q93.2,25,192,191,18032410,21239360
E16.10,70,414,548,140367840,146594250
G31.81,92,2161,3063,513351830,555313120
G31.88,12911,35127,35848,659227060,853759110
G47.31,127,597,1161,698836900,725661530
H35.51,8407,21791,22465,2232539880,2641403320
H35.52,1391,2718,2717,184255160,299956490
H35.58,390,748,764,80067790,105370200
H35.59,1644,2738,2839,227597550,304445970
I42.20,5472,20055,27301,3902452220,4374513880
I42.80,176,498,821,340054630,393817070
I49.82,567,1820,2572,866281300,960546820
K00.51,197,240,240,6994350,10008720
L73.22,774,4195,4629,394776660,711693410
