"대전광역시","남자",63032,23875,18954,11884,5384,2150,785,66852,25491,19353,12792,6090,2291,835,70391,27194,19811,13189,6836,2486,875,73244,27996,19954,14167,7507,2693,927,77987,29603,20172,15847,8290,3027,1048,81712,30354,21528,16301,9011,3377,1141,86465,32274,22794,16568,9828,3809,1192,92285,35211,24368,17029,10104,4263,1310,97771,38476,25034,17136,10967,4751,1407,103613,40952,26499,17284,12207,5102,1569
"대전광역시","여자",86684,25703,23666,17899,11292,5526,2598,90548,27112,23782,18730,12065,6064,2795,94234,28863,23965,18934,12945,6565,2962,97390,29823,23610,19778,13901,7154,3124,102152,31517,23457,21574,14521,7628,3455,106097,32164,24658,22037,15307,8131,3800,111623,34536,25841,22099,16217,8778,4152,118019,37883,27538,22181,16446,9477,4494,124131,41491,28420,21925,17199,10227,4869,130482,44214,29926,21811,18736,10627,5168
"울산광역시","계",90965,32861,26291,16596,9243,4254,1720,96754,35482,26961,17710,10068,4676,1857,103056,39224,27013,18833,10985,4970,2031,108438,41932,27360,19867,11824,5304,2151,116426,45325,28198,22145,12623,5763,2372,123792,47847,30530,23232,13403,6209,2571,132592,51705,33017,23831,14375,6799,2865,143477,57708,36261,23838,15124,7513,3033,153801,63138,38847,24342,16083,8072,3319,165186,67816,41960,25303,18076,8510,3521
"울산광역시","남자",38334,16461,11969,6191,2639,811,263,41464,18050,12289,6868,3035,932,290,44680,19994,12476,7419,3410,1061,320,47535,21334,12885,8090,3750,1147,329,51620,23014,13513,9327,4082,1342,342,55292,24126,14853,9973,4425,1538,377,59814,26114,16286,10265,4968,1755,426,65197,28837,17941,10491,5434,2005,489,70389,31515,19153,10945,5989,2219,568,75941,33673,20684,11574,6984,2391,635
"울산광역시","여자",52631,16400,14322,10405,6604,3443,1457,55290,17432,14672,10842,7033,3744,1567,58376,19230,14537,11414,7575,3909,1711,60903,20598,14475,11777,8074,4157,1822,64806,22311,14685,12818,8541,4421,2030,68500,23721,15677,13259,8978,4671,2194,72778,25591,16731,13566,9407,5044,2439,78280,28871,18320,13347,9690,5508,2544,83412,31623,19694,13397,10094,5853,2751,89245,34143,21276,13729,11092,6119,2886
"세종특별자치시","계",17768,4736,5048,4004,2419,1088,473,19636,5398,5262,4374,2770,1288,544,22276,6655,5615,4693,3161,1531,621,24095,7465,5738,5016,3488,1698,690,26222,8343,5909,5565,3751,1894,760,29126,9563,6599,5884,4054,2132,894,31951,10731,7444,5966,4363,2377,1070,34971,12292,8299,6090,4422,2671,1197,37721,14017,8799,6031,4672,2894,1308,40552,15243,9616,6172,5097,2992,1432
"세종특별자치시","남자",7225,2217,2180,1644,774,297,113,8000,2541,2299,1771,924,339,126,9169,3217,2448,1902,1063,410,129,10000,3594,2579,2038,1209,447,133,11025,4037,2699,2295,1339,501,154,12408,4634,3106,2464,1456,556,192,13770,5255,3529,2527,1571,659,229,15291,6028,3999,2604,1639,762,259,16643,6880,4253,2635,1750,856,269,18105,7526,4668,2747,1989,897,278
"세종특별자치시","여자",10543,2519,2868,2360,1645,791,360,11636,2857,2963,2603,1846,949,418,13107,3438,3167,2791,2098,1121,492,14095,3871,3159,2978,2279,1251,557,15197,4306,3210,3270,2412,1393,606,16718,4929,3493,3420,2598,1576,702,18181,5476,3915,3439,2792,1718,841,19680,6264,4300,3486,2783,1909,938,21078,7137,4546,3396,2922,2038,1039,22447,7717,4948,3425,3108,2095,1154
"경기도","계",1186851,391823,339431,238791,130221,59649,26936,1248088,412424,343549,254717,141940,66623,28835,1314690,437182,349826,265402,157832,73016,31432,1371635,445132,356898,282389,174047,79086,34083,1468215,478782,368203,308918,187946,86759,37607,1555524,504768,391254,319656,203896,94312,41638,1661509,551411,413510,325609,219801,104388,46790,1790104,622355,437131,332091,230288,116673,51566,1911102,698690,442462,339011,245763,129113,56063,2034862,748190,472487,348626,267864,137905,59790
"경기도","남자",499708,186006,150576,96427,43848,16218,6633,529237,197202,153458,104095,49012,18263,7207,560594,209497,157435,110157,55848,20103,7554,587759,213932,162141,118480,62854,22345,8007,635026,231848,168822,131132,69255,25284,8685,676674,244902,181392,136397,76295,28151,9537,727952,268810,193146,139761,83447,31989,10799,789418,303642,204584,143808,88776,36685,11923,847461,341414,207386,148303,95857,41478,13023,908548,366723,222732,153573,106170,45199,14151
