"시도별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","성별(1)",계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타,계,치매(F00-F03자01),파킨슨병(G20-G23),알츠하이머(G30),뇌질환등(I60-I69다04),중풍후유증(U23.4다06),진전(R25.1),기타
"대전광역시","계",1278,262,94,9,855,29,6,23,1341,276,111,9,870,31,4,40,1403,309,120,8,890,24,5,47,1435,344,131,11,870,23,4,52,1498,375,130,16,884,19,2,72,1557,326,124,21,887,17,3,179,1697,389,141,29,932,15,7,184,1752,426,151,36,934,14,6,185,1769,455,143,38,918,9,5,201,1726,422,137,40,899,7,4,217
"대전광역시","남자",727,139,35,3,522,13,2,13,780,152,44,5,536,14,1,28,805,167,45,4,544,11,1,33,815,188,51,5,523,11,1,36,850,209,50,8,530,7,0,46,881,187,49,13,536,7,1,88,975,227,55,16,569,7,5,96,1007,250,63,17,574,7,4,92,1022,270,60,16,564,4,3,105,1016,242,61,17,568,3,2,123
"대전광역시","여자",551,123,59,6,333,16,4,10,561,124,67,4,334,17,3,12,598,142,75,4,346,13,4,14,620,156,80,6,347,12,3,16,648,166,80,8,354,12,2,26,676,139,75,8,351,10,2,91,722,162,86,13,363,8,2,88,745,176,88,19,360,7,2,93,747,185,83,22,354,5,2,96,710,180,76,23,331,4,2,94
"울산광역시","계",730,194,46,3,453,19,0,15,766,210,51,4,456,23,0,22,832,211,58,5,502,26,0,30,837,213,58,5,503,25,1,32,882,233,72,4,514,24,1,34,947,192,78,5,536,16,2,118,1033,224,88,8,583,17,3,110,1052,249,86,9,583,15,3,107,1072,265,96,15,582,11,3,100,1096,284,107,15,577,10,3,100
"울산광역시","남자",403,96,18,1,276,6,0,6,430,110,16,1,281,11,0,11,467,105,19,1,315,13,0,14,466,99,17,1,323,13,0,13,490,112,26,1,317,14,0,20,538,100,26,-,342,9,-,61,578,114,35,2,362,9,1,55,588,129,36,3,356,8,-,56,591,132,41,3,360,6,-,49,613,147,48,3,360,6,0,49
"울산광역시","여자",327,98,28,2,177,13,0,9,336,100,35,3,175,12,0,11,365,106,39,4,187,13,0,16,371,114,41,4,180,12,1,19,392,121,46,3,197,10,1,14,409,92,52,5,194,7,2,57,455,110,53,6,221,8,2,55,464,120,50,6,227,7,3,51,481,133,55,12,222,5,3,51,483,137,59,12,217,4,3,51
"세종특별자치시","계",103,21,8,1,69,2,0,2,101,26,5,1,62,2,0,5,115,32,3,0,71,3,0,6,142,36,8,0,93,3,0,2,163,50,16,0,91,3,0,3,178,29,14,1,108,3,-,23,188,40,15,1,106,3,-,23,195,47,14,2,112,1,-,19,190,54,15,3,99,1,-,18,184,50,15,3,99,2,0,15
"세종특별자치시","남자",58,14,4,0,37,1,0,2,55,16,3,0,32,1,0,3,64,20,1,0,38,2,0,3,78,18,2,0,55,2,0,1,90,24,3,0,59,2,0,2,103,15,4,-,70,2,-,12,113,25,3,-,71,2,-,12,117,28,3,-,76,1,-,9,113,30,3,-,69,1,-,10,119,28,5,1,72,2,0,11
"세종특별자치시","여자",45,7,4,1,32,1,0,0,46,10,2,1,30,1,0,2,51,12,2,0,33,1,0,3,64,18,6,0,38,1,0,1,73,26,13,0,32,1,0,1,75,14,10,1,38,1,-,11,75,15,12,1,35,1,-,11,78,19,11,2,36,-,-,10,77,24,12,3,30,-,-,8,65,22,10,2,27,0,0,4
"경기도","계",8701,1736,682,49,5930,119,20,165,9141,1948,699,59,6110,98,20,207,9724,2171,748,63,6348,101,25,268,10206,2368,808,85,6532,88,29,296,10818,2623,865,99,6725,77,32,397,11611,2271,860,131,6962,76,35,1276,12486,2720,949,177,7338,72,35,1195,13058,3007,995,210,7508,64,38,1236,13514,3288,1043,257,7510,58,35,1323,13568,3413,1076,289,7304,46,38,1402
