진료년도,희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
2021,Q912,2,194,194,49418930,52499960
2021,Q914,3,52,52,2672200,2677100
2021,Q915,3,56,56,1348930,1518630
2021,Q917,13,243,392,224033320,226369220
2021,Q922,9,108,163,35346180,36036310
2021,Q923,78,953,976,65338700,76321020
2021,Q928,14,381,459,82617240,87833640
2021,Q932,25,192,191,18032410,21239360
2021,E1610,70,414,548,140367840,146594250
2021,G3181,92,2161,3063,513351830,555313120
2021,G3188,12911,35127,35848,659227060,853759110
2021,G4731,127,597,1161,698836900,725661530
2021,H3551,8407,21791,22465,2232539880,2641403320
2021,H3552,1391,2718,2717,184255160,299956490
2021,H3558,390,748,764,80067790,105370200
2021,H3559,1644,2738,2839,227597550,304445970
2021,I4220,5472,20055,27301,3902452220,4374513880
2021,I4280,176,498,821,340054630,393817070
2021,I4982,567,1820,2572,866281300,960546820
2021,K0051,197,240,240,6994350,10008720
2021,L7322,774,4195,4629,394776660,711693410
