"연령별(1)","성별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",계,계,계,계,계,암질환,암질환,암질환,암질환,암질환,뇌혈관,뇌혈관,뇌혈관,뇌혈관,뇌혈관,심장질환,심장질환,심장질환,심장질환,심장질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,중증화상,중증화상,중증화상,중증화상,중증화상,중증외상,중증외상,중증외상,중증외상,중증외상,중증치매,중증치매,중증치매,중증치매,중증치매,결핵,결핵,결핵,결핵,결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"30 - 34세","여자",43505,631057,8766779,184458321,165202195,23797,287149,3993600,89279638,80137772,294,4090,9217,4777813,4395267,405,2529,6341,6502970,6041221,18320,323412,4627311,80804826,71694340,47,1132,1558,400745,357205,41,597,824,1074753,986677,-,-,-,-,-,482,7260,72176,1436320,1408850,832,4888,55752,181256,180862
"35 - 39세","계",92829,1563966,20399094,541387657,486520339,46047,679139,8531369,236771458,213154425,1012,15671,32196,16970572,15646585,1497,10860,29484,26634467,24726682,43074,828184,11538841,252233653,224724760,103,2342,4523,1069880,935207,175,2713,4448,3736572,3423514,3,19,571,4305,3711,984,15586,147011,3593681,3532753,1564,9452,110651,373069,372703
"35 - 39세","남자",36486,649537,8255251,265494081,239724010,12180,177815,2184829,74728655,68222686,587,9827,18366,9987204,9210938,1055,7676,22249,18920227,17565253,22041,438432,5899862,156235496,139426733,52,1124,1758,542539,471617,135,2012,3314,2536818,2323655,1,9,205,1816,1470,574,9611,87530,2412745,2373152,511,3031,37138,128581,128506
"35 - 39세","여자",56343,914429,12143843,275893576,246796329,33867,501324,6346540,162042803,144931739,425,5844,13830,6983368,6435647,442,3184,7235,7714239,7161429,21033,389752,5638979,95998158,85298027,51,1218,2765,527341,463589,40,701,1134,1199753,1099860,2,10,366,2489,2240,410,5975,59481,1180937,1159601,1053,6421,73513,244487,244197
"40 - 44세","계",139974,2590781,32267827,876591210,789119308,77876,1360920,15755928,471239069,424377394,1871,28796,59134,30687829,28294744,2895,18527,57700,46464010,43238298,55728,1139308,16009238,317054825,282799201,167,4260,6714,1807154,1552663,196,3056,4928,4378606,3993617,9,69,1288,5628,5147,1242,19828,183609,4342971,4248040,2610,16017,189288,611118,610204
"40 - 44세","남자",52081,985997,11700273,386315335,349897967,20683,330258,3554496,132439712,121032615,1043,16768,32502,16976061,15644924,2219,14312,46711,36241260,33740588,27463,603082,7896062,192984176,172339431,112,2689,4045,1117133,964394,156,2408,3967,3480740,3171700,5,39,649,2845,2626,720,12150,108574,2897201,2825687,724,4291,53267,176208,176003
"40 - 44세","여자",87893,1604784,20567554,490275875,439221341,57193,1030662,12201432,338799357,303344779,828,12028,26632,13711768,12649820,676,4215,10989,10222750,9497711,28265,536226,8113176,124070650,110459771,55,1571,2669,690021,588269,40,648,961,897865,821917,4,30,639,2783,2521,522,7678,75035,1445770,1422353,1886,11726,136021,434910,434200
"45 - 49세","계",171581,3664479,42333615,1208982319,1092768661,99189,2083396,22090714,697639638,631607099,3127,48913,97261,51684199,47679787,4564,28873,92150,72164656,67148087,62986,1445758,19538613,372685255,332470506,155,4434,6878,2479876,2130371,281,4220,6571,5561190,5092918,24,757,7020,102682,88489,1497,25171,225059,5741126,5632144,3635,22957,269349,923697,919260
"45 - 49세","남자",61344,1319041,14065352,506694837,460670448,25371,479186,4391621,193161878,177174048,1724,28262,52772,27469156,25362716,3624,22542,74927,56835811,52903161,29930,760387,9315392,219023455,195689187,94,2486,3604,1658522,1453062,223,3401,5282,4326721,3959309,9,530,2823,58925,49546,957,16606,146516,3921636,3842920,955,5641,72415,238735,236500
"45 - 49세","여자",110237,2345438,28268263,702287482,632098213,73818,1604210,17699093,504477760,454433051,1403,20651,44489,24215044,22317072,940,6331,17223,15328846,14244926,33056,685371,10223221,153661800,136781319,61,1948,3274,821354,677309,58,819,1289,1234469,1133609,15,227,4197,43757,38943,540,8565,78543,1819490,1789224,2680,17316,196934,684963,682760
